player_class,player_archetype,opponent_class,opponent_archetype,win_rate,total_games,date_published
,Malygos Druid,,Malygos Druid,50,,
,Malygos Druid,,Token Druid,48.6,,
,Malygos Druid,,Taunt Druid,40.4,,
,Malygos Druid,,Big Druid,42.6,,
,Malygos Druid,,Deathrattle Hunter,42.6,,
,Malygos Druid,,Spell Hunter,53.6,,
,Malygos Druid,,Secret Hunter,38.4,,
,Malygos Druid,,Tempo Mage,50,,
,Malygos Druid,,Control Priest,43.6,,
,Malygos Druid,,Quest Rogue,46.7,,
,Malygos Druid,,Odd Rogue,60.4,,
,Malygos Druid,,Shudderwock Shaman,67,,
,Malygos Druid,,Even Warlock,46.9,,
,Malygos Druid,,Zoo Warlock,40.5,,
,Malygos Druid,,Cube Warlock,52.6,,
,Malygos Druid,,Control Warlock,56.6,,
,Malygos Druid,,Odd Warrior,48.2,,
,,,,,,
,Token Druid,,Malygos Druid,51.4,,
,Token Druid,,Token Druid,50,,
,Token Druid,,Taunt Druid,40.2,,
,Token Druid,,Big Druid,37.1,,
,Token Druid,,Deathrattle Hunter,52.8,,
,Token Druid,,Spell Hunter,59.7,,
,Token Druid,,Secret Hunter,51.9,,
,Token Druid,,Tempo Mage,45.8,,
,Token Druid,,Control Priest,51.7,,
,Token Druid,,Quest Rogue,55.9,,
,Token Druid,,Odd Rogue,57.9,,
,Token Druid,,Shudderwock Shaman,69.6,,
,Token Druid,,Even Warlock,39.3,,
,Token Druid,,Zoo Warlock,43.2,,
,Token Druid,,Cube Warlock,37.4,,
,Token Druid,,Control Warlock,43,,
,Token Druid,,Odd Warrior,59.9,,
,,,,,,
,Taunt Druid,,Malygos Druid,59.6,,
,Taunt Druid,,Token Druid,59.8,,
,Taunt Druid,,Taunt Druid,50,,
,Taunt Druid,,Big Druid,51.2,,
,Taunt Druid,,Deathrattle Hunter,42.4,,
,Taunt Druid,,Spell Hunter,59,,
,Taunt Druid,,Secret Hunter,58,,
,Taunt Druid,,Tempo Mage,45.9,,
,Taunt Druid,,Control Priest,64,,
,Taunt Druid,,Quest Rogue,40.5,,
,Taunt Druid,,Odd Rogue,51.7,,
,Taunt Druid,,Shudderwock Shaman,45.5,,
,Taunt Druid,,Even Warlock,56,,
,Taunt Druid,,Zoo Warlock,44.7,,
,Taunt Druid,,Cube Warlock,59.3,,
,Taunt Druid,,Control Warlock,69.8,,
,Taunt Druid,,Odd Warrior,61.4,,
,,,,,,
,Big Druid,,Malygos Druid,57.4,,
,Big Druid,,Token Druid,62.9,,
,Big Druid,,Taunt Druid,48.8,,
,Big Druid,,Big Druid,50,,
,Big Druid,,Deathrattle Hunter,36.1,,
,Big Druid,,Spell Hunter,61.3,,
,Big Druid,,Secret Hunter,50.2,,
,Big Druid,,Tempo Mage,41,,
,Big Druid,,Control Priest,67.1,,
,Big Druid,,Quest Rogue,39.3,,
,Big Druid,,Odd Rogue,52.5,,
,Big Druid,,Shudderwock Shaman,64.1,,
,Big Druid,,Even Warlock,51.9,,
,Big Druid,,Zoo Warlock,47.5,,
,Big Druid,,Cube Warlock,61.8,,
,Big Druid,,Control Warlock,62.8,,
,Big Druid,,Odd Warrior,39.8,,
,,,,,,
,Deathrattle Hunter,,Malygos Druid,57.4,,
,Deathrattle Hunter,,Token Druid,47.2,,
,Deathrattle Hunter,,Taunt Druid,57.6,,
,Deathrattle Hunter,,Big Druid,63.9,,
,Deathrattle Hunter,,Deathrattle Hunter,50,,
,Deathrattle Hunter,,Spell Hunter,50.4,,
,Deathrattle Hunter,,Secret Hunter,45.7,,
,Deathrattle Hunter,,Tempo Mage,56,,
,Deathrattle Hunter,,Control Priest,51.2,,
,Deathrattle Hunter,,Quest Rogue,38.2,,
,Deathrattle Hunter,,Odd Rogue,43.5,,
,Deathrattle Hunter,,Shudderwock Shaman,61.7,,
,Deathrattle Hunter,,Even Warlock,54.8,,
,Deathrattle Hunter,,Zoo Warlock,43.9,,
,Deathrattle Hunter,,Cube Warlock,57.4,,
,Deathrattle Hunter,,Control Warlock,72,,
,Deathrattle Hunter,,Odd Warrior,63.4,,
,,,,,,
,Spell Hunter,,Malygos Druid,46.4,,
,Spell Hunter,,Token Druid,40.3,,
,Spell Hunter,,Taunt Druid,41,,
,Spell Hunter,,Big Druid,38.7,,
,Spell Hunter,,Deathrattle Hunter,49.6,,
,Spell Hunter,,Spell Hunter,50,,
,Spell Hunter,,Secret Hunter,43.7,,
,Spell Hunter,,Tempo Mage,62,,
,Spell Hunter,,Control Priest,48.2,,
,Spell Hunter,,Quest Rogue,51.7,,
,Spell Hunter,,Odd Rogue,53.4,,
,Spell Hunter,,Shudderwock Shaman,47.6,,
,Spell Hunter,,Even Warlock,50.2,,
,Spell Hunter,,Zoo Warlock,52.7,,
,Spell Hunter,,Cube Warlock,46.3,,
,Spell Hunter,,Control Warlock,55.7,,
,Spell Hunter,,Odd Warrior,34.4,,
,,,,,,
,Secret Hunter,,Malygos Druid,61.6,,
,Secret Hunter,,Token Druid,48.1,,
,Secret Hunter,,Taunt Druid,42,,
,Secret Hunter,,Big Druid,49.8,,
,Secret Hunter,,Deathrattle Hunter,54.3,,
,Secret Hunter,,Spell Hunter,56.3,,
,Secret Hunter,,Secret Hunter,50,,
,Secret Hunter,,Tempo Mage,61.8,,
,Secret Hunter,,Control Priest,48.9,,
,Secret Hunter,,Quest Rogue,61.9,,
,Secret Hunter,,Odd Rogue,53,,
,Secret Hunter,,Shudderwock Shaman,49.3,,
,Secret Hunter,,Even Warlock,50.7,,
,Secret Hunter,,Zoo Warlock,54.3,,
,Secret Hunter,,Cube Warlock,50.9,,
,Secret Hunter,,Control Warlock,57.1,,
,Secret Hunter,,Odd Warrior,32.7,,
,,,,,,
,Tempo Mage,,Malygos Druid,50,,
,Tempo Mage,,Token Druid,54.2,,
,Tempo Mage,,Taunt Druid,54.1,,
,Tempo Mage,,Big Druid,59,,
,Tempo Mage,,Deathrattle Hunter,44,,
,Tempo Mage,,Spell Hunter,38,,
,Tempo Mage,,Secret Hunter,38.2,,
,Tempo Mage,,Tempo Mage,50,,
,Tempo Mage,,Control Priest,52.4,,
,Tempo Mage,,Quest Rogue,89.8,,
,Tempo Mage,,Odd Rogue,35.2,,
,Tempo Mage,,Shudderwock Shaman,61.2,,
,Tempo Mage,,Even Warlock,60.6,,
,Tempo Mage,,Zoo Warlock,43.9,,
,Tempo Mage,,Cube Warlock,67.6,,
,Tempo Mage,,Control Warlock,74.9,,
,Tempo Mage,,Odd Warrior,29.4,,
,,,,,,
,Control Priest,,Malygos Druid,56.4,,
,Control Priest,,Token Druid,48.3,,
,Control Priest,,Taunt Druid,36,,
,Control Priest,,Big Druid,32.9,,
,Control Priest,,Deathrattle Hunter,48.8,,
,Control Priest,,Spell Hunter,51.8,,
,Control Priest,,Secret Hunter,51.1,,
,Control Priest,,Tempo Mage,47.6,,
,Control Priest,,Control Priest,50,,
,Control Priest,,Quest Rogue,32.8,,
,Control Priest,,Odd Rogue,44.3,,
,Control Priest,,Shudderwock Shaman,50.5,,
,Control Priest,,Even Warlock,57.1,,
,Control Priest,,Zoo Warlock,57,,
,Control Priest,,Cube Warlock,60.8,,
,Control Priest,,Control Warlock,67,,
,Control Priest,,Odd Warrior,36,,
,,,,,,
,Quest Rogue,,Malygos Druid,53.3,,
,Quest Rogue,,Token Druid,44.1,,
,Quest Rogue,,Taunt Druid,59.5,,
,Quest Rogue,,Big Druid,60.7,,
,Quest Rogue,,Deathrattle Hunter,61.8,,
,Quest Rogue,,Spell Hunter,48.3,,
,Quest Rogue,,Secret Hunter,38.1,,
,Quest Rogue,,Tempo Mage,10.2,,
,Quest Rogue,,Control Priest,67.2,,
,Quest Rogue,,Quest Rogue,50,,
,Quest Rogue,,Odd Rogue,33.1,,
,Quest Rogue,,Shudderwock Shaman,71.9,,
,Quest Rogue,,Even Warlock,56.3,,
,Quest Rogue,,Zoo Warlock,24.4,,
,Quest Rogue,,Cube Warlock,49.9,,
,Quest Rogue,,Control Warlock,60.9,,
,Quest Rogue,,Odd Warrior,76.9,,
,,,,,,
,Odd Rogue,,Malygos Druid,39.6,,
,Odd Rogue,,Token Druid,42.1,,
,Odd Rogue,,Taunt Druid,48.3,,
,Odd Rogue,,Big Druid,47.5,,
,Odd Rogue,,Deathrattle Hunter,56.5,,
,Odd Rogue,,Spell Hunter,46.6,,
,Odd Rogue,,Secret Hunter,47,,
,Odd Rogue,,Tempo Mage,64.8,,
,Odd Rogue,,Control Priest,55.7,,
,Odd Rogue,,Quest Rogue,66.9,,
,Odd Rogue,,Odd Rogue,50,,
,Odd Rogue,,Shudderwock Shaman,46.2,,
,Odd Rogue,,Even Warlock,56.7,,
,Odd Rogue,,Zoo Warlock,57.6,,
,Odd Rogue,,Cube Warlock,62.4,,
,Odd Rogue,,Control Warlock,54.6,,
,Odd Rogue,,Odd Warrior,24.2,,
,,,,,,
,Shudderwock Shaman,,Malygos Druid,33,,
,Shudderwock Shaman,,Token Druid,30.4,,
,Shudderwock Shaman,,Taunt Druid,54.5,,
,Shudderwock Shaman,,Big Druid,35.9,,
,Shudderwock Shaman,,Deathrattle Hunter,38.3,,
,Shudderwock Shaman,,Spell Hunter,52.4,,
,Shudderwock Shaman,,Secret Hunter,50.7,,
,Shudderwock Shaman,,Tempo Mage,38.8,,
,Shudderwock Shaman,,Control Priest,49.5,,
,Shudderwock Shaman,,Quest Rogue,28.1,,
,Shudderwock Shaman,,Odd Rogue,53.8,,
,Shudderwock Shaman,,Shudderwock Shaman,50,,
,Shudderwock Shaman,,Even Warlock,44.8,,
,Shudderwock Shaman,,Zoo Warlock,44.6,,
,Shudderwock Shaman,,Cube Warlock,43.1,,
,Shudderwock Shaman,,Control Warlock,47.7,,
,Shudderwock Shaman,,Odd Warrior,75.7,,
,,,,,,
,Even Warlock,,Malygos Druid,53.1,,
,Even Warlock,,Token Druid,60.7,,
,Even Warlock,,Taunt Druid,44,,
,Even Warlock,,Big Druid,48.1,,
,Even Warlock,,Deathrattle Hunter,45.2,,
,Even Warlock,,Spell Hunter,49.8,,
,Even Warlock,,Secret Hunter,49.3,,
,Even Warlock,,Tempo Mage,39.4,,
,Even Warlock,,Control Priest,42.9,,
,Even Warlock,,Quest Rogue,43.7,,
,Even Warlock,,Odd Rogue,43.3,,
,Even Warlock,,Shudderwock Shaman,55.2,,
,Even Warlock,,Even Warlock,50,,
,Even Warlock,,Zoo Warlock,58.9,,
,Even Warlock,,Cube Warlock,58.4,,
,Even Warlock,,Control Warlock,70.9,,
,Even Warlock,,Odd Warrior,47.7,,
,,,,,,
,Zoo Warlock,,Malygos Druid,59.5,,
,Zoo Warlock,,Token Druid,56.8,,
,Zoo Warlock,,Taunt Druid,55.3,,
,Zoo Warlock,,Big Druid,52.5,,
,Zoo Warlock,,Deathrattle Hunter,56.1,,
,Zoo Warlock,,Spell Hunter,47.3,,
,Zoo Warlock,,Secret Hunter,45.7,,
,Zoo Warlock,,Tempo Mage,56.1,,
,Zoo Warlock,,Control Priest,43,,
,Zoo Warlock,,Quest Rogue,75.6,,
,Zoo Warlock,,Odd Rogue,42.4,,
,Zoo Warlock,,Shudderwock Shaman,55.4,,
,Zoo Warlock,,Even Warlock,41.1,,
,Zoo Warlock,,Zoo Warlock,50,,
,Zoo Warlock,,Cube Warlock,48.9,,
,Zoo Warlock,,Control Warlock,40.9,,
,Zoo Warlock,,Odd Warrior,33.3,,
,,,,,,
,Cube Warlock,,Malygos Druid,47.4,,
,Cube Warlock,,Token Druid,62.6,,
,Cube Warlock,,Taunt Druid,40.7,,
,Cube Warlock,,Big Druid,38.2,,
,Cube Warlock,,Deathrattle Hunter,42.6,,
,Cube Warlock,,Spell Hunter,53.7,,
,Cube Warlock,,Secret Hunter,49.1,,
,Cube Warlock,,Tempo Mage,32.4,,
,Cube Warlock,,Control Priest,39.2,,
,Cube Warlock,,Quest Rogue,50.1,,
,Cube Warlock,,Odd Rogue,37.6,,
,Cube Warlock,,Shudderwock Shaman,56.9,,
,Cube Warlock,,Even Warlock,41.6,,
,Cube Warlock,,Zoo Warlock,51.1,,
,Cube Warlock,,Cube Warlock,50,,
,Cube Warlock,,Control Warlock,56.9,,
,Cube Warlock,,Odd Warrior,49,,
,,,,,,
,Control Warlock,,Malygos Druid,43.4,,
,Control Warlock,,Token Druid,57,,
,Control Warlock,,Taunt Druid,30.2,,
,Control Warlock,,Big Druid,37.2,,
,Control Warlock,,Deathrattle Hunter,28,,
,Control Warlock,,Spell Hunter,44.3,,
,Control Warlock,,Secret Hunter,42.9,,
,Control Warlock,,Tempo Mage,25.1,,
,Control Warlock,,Control Priest,33,,
,Control Warlock,,Quest Rogue,39.1,,
,Control Warlock,,Odd Rogue,45.4,,
,Control Warlock,,Shudderwock Shaman,52.3,,
,Control Warlock,,Even Warlock,29.1,,
,Control Warlock,,Zoo Warlock,59.1,,
,Control Warlock,,Cube Warlock,43.1,,
,Control Warlock,,Control Warlock,50,,
,Control Warlock,,Odd Warrior,53.7,,
,,,,,,
,Odd Warrior,,Malygos Druid,51.8,,
,Odd Warrior,,Token Druid,40.1,,
,Odd Warrior,,Taunt Druid,38.6,,
,Odd Warrior,,Big Druid,60.2,,
,Odd Warrior,,Deathrattle Hunter,36.6,,
,Odd Warrior,,Spell Hunter,65.6,,
,Odd Warrior,,Secret Hunter,67.3,,
,Odd Warrior,,Tempo Mage,70.6,,
,Odd Warrior,,Control Priest,64,,
